Pgroup	Pname
SPICES	KNORR PAPRYKA OSTRA HISZPANI
GENERAL_FOOD	OGORKI MALOSOLNE LUZ
SWEETS	PAP LINK BLU
COFFEE TEA	KAWA NSSCIRE MAG
CIGARETTES	WODA AQA
SWEETS	WAFLE SUCHE OWAL
SWEETS	GOPL FIGORKA PLASKA
CIGARETTES	PAP PAL MAL PSTRYK LINK
COFFEE TEA	KAWA WOSEBA RODZINNA
SWEETS	BATON KNOPERS ORZECH
TABLETS	VITAFIZZ MAGNEZ
DRINK_JUICE	NAP TYMBARK JAB WISNIA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	MARGARYNA DELMA EXTRA KUBEK
PACKAGES	BUTELKA
CANNED_PATE	SZYNKA WIEPRZOWA KONS GRATKA
CHEMISTRY	FOLIA ALUMINIOWA
VODKA_ALCOHOL	WODKA KRUPNIK PREMIUM
GROATS_RICE_PASTA	GROCH POLŁWKI STEFIK
GENERAL	FASOLA PIEKNY JAS SARITA
GENERAL_FOOD	AROMAT RUMOWY
SWEETS	LODY CIEPLE DUZE
DAIRY_CHESSE	JOGURT WYSPA
GENERAL	PUDL KONCEN POMIDOROWY
BEER	PIWO WARZACY CHMIELEM BEZWROT
SOCKS_THIGHTS	RAJSTOPY DEN
CANNED_PATE	TOREBKA BUTELK
SWEETS	ROGAL DAYS MAX WANILIA
SWEETS	ZELKI NIMM SMIEJZELKI
DAIRY_CHESSE	SMIETANA BEZ LAKTOZY
SWEETS	MAR RAMA
BREAD	CHLEB ZIARNISTY
CHEWING_GUM_LOLIPOPS	MENTOS STRONG MINT
DRINK_JUICE	KUBUS MAR JABL POMAR
DAIRY_CHESSE	DANONKI WANILIOWE
GROATS_RICE_PASTA	MAK LUBELLA FALA
DAIRY_CHESSE	SMIETANA KOSCIAN
SWEETS	PAP LINK BLU
CHIPS_FLAKES	LAYS PAPRYKA
CHEMISTRY	GABKA
SWEETS	PETITKI LUBISIE CZEK
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	CZEK AMELIA MLECZNA NADZIIEWANA
ICE_CREAMS_FROZEN	LODY ROZEK JAK DAWNIEJ
GROATS_RICE_PASTA	MAK SULMA NITKA ROSOLOWA
SPICES	MARCO POLO JARZYNKA BEZ SOLI
MEAT	PAROWKA HOT DOG
VEGETABLES	BOTWINKA PECZEK
VEGETABLES	KALAREPA SZT
SWEETS	BATON TWIX
SWEETS	WAFELKI OWSIANE
CHEMISTRY	LEP MUCHY BROS SZT
GENERAL_FOOD	KNORR CEBULOWA GRZANKAMI
CHIPS_FLAKES	PALECZKI PTYSIOWE CUKREM
BEER	PIWO OKOCIM RADLER ZWR WISNIA
CHIPS_FLAKES	CHRUPKI STAR HYPER PIZZA
SWEETS	PRAZYNKI BOCZEK
CHEMISTRY	SZAMPON SCHAUM
SWEETS	JAJKA CUKROWE NADZIENIEM LUZ
DRINK_JUICE	PEPSI COLA PUSZKA
VEGETABLES	SKORUPKA BURACZKI WIORKI
DAIRY_CHESSE	SER CAPRESI SMIETANK
GROATS_RICE_PASTA	MAK ZLOTY LAN MUSZELKA
DAIRY_CHESSE	HOCH TWAR KANAPKOWY SMIETANA
DRINK_JUICE	WODA PRIMAWERA
SWEETS	ORANZADA PROSZKU SUPER
PET'S FOOD	KARMA CHAPPI WOLOW WARZYWA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	POMPKA PLAY DOLADOWANIE
CHEWING_GUM_LOLIPOPS	RYZ PRWPAROWANY
COFFEE TEA	HERBATA SAGA OWOCE LESNE
GENERAL_FOOD	KIELBASA TUCHOWSKA PIECZONA
MEAT	KIELBASA SEREM KEBAB WIOSENNA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	ORZESZKI NIESOLONE PUSZKA
VODKA_ALCOHOL	NAP SPIR ADKOWA MIETA
CANNED_PATE	KOPYTKA TACKA GRZESKOWIAK
COFFEE TEA	EKOLAND HERBATA CYTRYNOWA TOR
CHEMISTRY	DOMESTOS CITRUS
GENERAL	ZUPA VIFON KREWETKA PIKANTNA OSTRA
VEGETABLES	SKORUPKA SALATKA STAROGOST
BREAD	BULKA MALA KAJZERKA
TABLETS	TABLETKI RENNIE ANTACIDUM MOCN MIETA
DAIRY_CHESSE	SEREK TOP MLEKOPOL
TABLETS	TABLETKI POLOPIRYNA
SPICES	PRYMAT PIETRUSZKA NATKA
DRINK_JUICE	NAP TYMBARK POMARANCZ
DAIRY_CHESSE	HOCHL SMIETANKOW TOPIONY
GROATS_RICE_PASTA	MAK SULMA NITKA SPAGHETTI
GENERAL	SOK ZURAWINY
GROATS_RICE_PASTA	KASZA ORKISZOWA
GENERAL	DROZDZE BABUNI
SWEETS	DELICJE POMAR WEDEL
VEGETABLES	KOPEREK ZIELONY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KAWA ROZP NESCAFE CLASSIC
CHEMISTRY	ZESZYT LINIA
CHIPS_FLAKES	PALUSZKI BESKIDZKIE SER CEBULA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	HELLENA ORENZADA CZERWONA
WINE_ALCOHOL 18%	NAP SPIR SOPLICA WISNIA
VEGETABLES	CZOSNEK POLSKI
BEER	PIWO BOJAN MALINOWE ZWROT
DAIRY_CHESSE	TWAROG POLTLUSTY SREMSKI
ICE_CREAMS_FROZEN	LODY PINEAAPLLE NESTLE
BEER	PIWO LWOWEK MALINA
ICE_CREAMS_FROZEN	LODY KOSTKA SNIEZNA SMIET
SPICES	PRZYPR ZUP WINIARY
OCCASIONAL	REKLAMOWKA JEDNORAZOWA
BEER	PIWO TYSKIE BUTELKA
BEER	PIWO SROGIE LANIE BEZWROT
CHEMISTRY	BOND PIANKA GOLENIA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	POMPKA PLAY DOLADOWANIE
DRINK_JUICE	NAP TYMBARK LEMONIADA MANGO
TABLETS	TABLETKI POLOPIRYNA
MEAT	KABANOSY DROBIEM
GENERAL_FOOD	GUMA AIRWAVES SZT SASZETKA
SPICES	PRYMAT GRILL PIKANTNT
CHEMISTRY	CHUSTECZKI
COFFEE TEA	POPCORN MIKROFALI
DAIRY_CHESSE	MLEKO SWIEZE SREM
SWEETS	NASZYJNIK CUKIERKAMI
DAIRY_CHESSE	HOCHL SMIETANKOW TOPIONY
SWEETS	BATON TWIX
ICE_CREAMS_FROZEN	FILET MIRUNY
VEGETABLES	KALAFIOR
DRINK_JUICE	NAP TYMBARK POMAR BRZOSKLWINIA
COFFEE TEA	PRIMA MIELONA
CHEMISTRY	WIN GALARETKA TRUSKAWKOWA PIANKA
TABLETS	OPASKA ELASTYCZNA
VODKA_ALCOHOL	NAP SPIR ZOLADKOWA GORZKA
DRINK_JUICE	WODA ZYWIEC LIMON GAZ
ICE_CREAMS_FROZEN	FILET MIRUNY
WINE_ALCOHOL 18%	WODKA DRINK SOBIESKI CRANBERRY
BEER	PIWO MOCNE POLSKIE
DRINK_JUICE	NAP NAPI BUTELKA
DAIRY_CHESSE	SER KIELBASKA MLEKOVITA PIECZARKA
ICE_CREAMS_FROZEN	MARCHEW GROSZKIWM SLON OGROD
VEGETABLES	IMBIR
BREAD	PYZY DRO OWE GRZESKOWIAK
CHEWING_GUM_LOLIPOPS	LIZAK KWIATEK MALY KULKA
CHEMISTRY	PROSZEK
CIGARETTES	PAP PINK SUPER SLIM
COFFEE TEA	JACOBS KRONUNG MIELONA
DAIRY_CHESSE	MLEKO ZAMBROWSKIE
MEAT	KASZANKA
GENERAL_FOOD	MUSZTARDA STOLOWA PEGAZ
SPICES	MARCO POLO LUBCZYK LISC
MEAT	KIE BASA MYSLIWSKA
COFFEE TEA	KAWA NESCAFE CREME ZAPAS
CHIPS_FLAKES	STAR CHIPS SER POMIDOR
BREAD	DROZDZOWKA DROZDZOWA
GROATS_RICE_PASTA	MAK SULMA KOLANKO DUZA
DRINK_JUICE	WODA JURAJSKA JODEM GAZ
DAIRY_CHESSE	SER CAMEMBERT TUREK NATURALNY
DAIRY_CHESSE	ZOOT GALARETKA TRUSK
CHIPS_FLAKES	STAR CHIPS SER CEBULA
SWEETS	CIASTKA DESSIMO WISNIOWE
ICE_CREAMS_FROZEN	LODY BIG MILK CHOCO
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	WIN SOS CZOSNKOWY
OILS	OLEJ SLONECZNIKOWY BARTEK
ICE_CREAMS_FROZEN	FRYTKI KULECZKI ZIEMNIACZANE AVIKO
CHEMISTRY	EVA SIMPLE OWSEM
DRINK_JUICE	NAP TYMBARK KAKTUS
DAIRY_CHESSE	BAKOMA OLEJ RZEPAKOWY
DAIRY_CHESSE	SERY OTE LUZ
ICE_CREAMS_FROZEN	WARZYWA PATELNIE CALFLOST
CHEMISTRY	TOREBKA PREZENT
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
OILS	OLEJ LNIANY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KAMIS MUSZTARDA FRANCUSKA
SWEETS	CUKIERKI WERTHERS SOFT
CANNED_PATE	OGOREK KISZONE LUZ
DAIRY_CHESSE	GOS MLEKO CODZIENNE
BREAD	BULKA MASLANA MALA
VEGETABLES	GRUSZKI
BREAD	CHLEB RAZOWY
OCCASIONAL	TOREBKA
DRINK_JUICE	KUBUS PLAY MULTIWITAMIN
GENERAL_FOOD	WIN PAPIRUS CZOSNKIEM
DAIRY_CHESSE	HOCHL KANAPKOWY OGORKIEM
GROATS_RICE_PASTA	MAKA WROCLAWSKA STOISLAW
SWEETS	CHRUSCIKI CIASTA ROZNE
DRINK_JUICE	WODA ZYWIEC GAZ TRUSKA
CANNED_PATE	ROLNIK PAPRYKA CWIARTKI
CIGARETTES	WODA AQA GAZ
CIGARETTES	PAP PAL MAL MINT
CHEMISTRY	SZCZOTECZKA ZEBOW
DAIRY_CHESSE	WIB SOS KOPERKOWY SMIETANA
DAIRY_CHESSE	SMIETANA OWICZ
DRINK_JUICE	PEPSI
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PIWO PERLA CHMIELOWA BUT ZWROT
CHEMISTRY	PLUKANIA KONC
SWEETS	BATON NESLIK CHOCO
CHIPS_FLAKES	LAYS STIX
SWEETS	PRINCESA ZEBRA
SWEETS	WAFELKI OWSIANE
CHEMISTRY	EVA MYDLO PLYNIE DOZOWNIKIEM
DRINK_JUICE	ZBYSZKO GREJPFRUTY GAZ
FISH	PLAT SLEDZ SMAZONE LUZ
ICE_CREAMS_FROZEN	LODY GRZESKI
CANNED_PATE	PASZTET PODLASKI POMIDOR DROSED
CHEMISTRY	SZAMPON TATARO CHMIEL EVA NATURE
DRINK_JUICE	FRUGO CZARNE PET
FISH	MAKRELA WEDZONA
VEGETABLES	PIETRUSZKA LUZ KORZE
DRINK_JUICE	KUBUS PLAY MAR TRUS LIMETKA
CHEMISTRY	CHUSTECZKI KOLOROW SZT
GROATS_RICE_PASTA	WAFLE SUNNY CEBULA
CHEMISTRY	BREF FORMULA
DAIRY_CHESSE	SER PLASRTY SZYNKA LACTIMA
OCCASIONAL	BROS PACKI MUCHY
CIGARETTES	PAP WEST JCE COOL BLEND KIE
CHEWING_GUM_LOLIPOPS	GUMA ORBIT WHIT TOREBKA FRESH
DRINK_JUICE	WODA STAROPOLANKA
CHEMISTRY	WOZEK ZAKUPOWY CUKIERKAMI
BREAD	PYZY DRO OWE GRZESKOWIAK
VEGETABLES	KAPUSTA PEKINSKA
SWEETS	LEMONIADA CYTRYNA
GROATS_RICE_PASTA	MAK SULMA NITKA SPAGHETTI
ICE_CREAMS_FROZEN	LODY OSKAR KROWKA
ICE_CREAMS_FROZEN	LODY ROZEK CORNETTO
CHEMISTRY	WORKI SMIECI USZANI SZT
CIGARETTES	PAP PAL MAL PSTRYK LINK
SWEETS	WODA ZYWIEC POZIOMKA
CIGARETTES	PAP MOCNE JASNE
ICE_CREAMS_FROZEN	BRUKSELKA
SWEETS	WAWEL CZEKOLADA MICHALKI
DAIRY_CHESSE	GOS MLEKO ZAGESZCZ GOSTYN
DRINK_JUICE	LODY KOKTAILOWE
GENERAL	KISIEL SLOD CHWILA MANGO ANANAS
DRINK_JUICE	NAP TIGER PUSZKA
DAIRY_CHESSE	BAKOMA SEREK BAKUS WANILIA
CIGARETTES	TRUSKAWKI MROZONE
DRINK_JUICE	NAP FANTA ORANGE
BEER	PIWO MUSCOVADO ZWR
VODKA_ALCOHOL	SPIRYTUS
WINE_ALCOHOL 18%	SZAMPAN CIN CIN BIALY
COFFEE TEA	KAWA INKA KARTON
SPICES	GALEO PRZYPRAWA TZATZIKI
BREAD	CHLEB RAZOWY
DAIRY_CHESSE	SEREK TOP MLEKOPOL
DAIRY_CHESSE	SEREK WIEJSKI PIATNICA
GENERAL	POWIDLA WEGIERKOWE HERBOPOL
VEGETABLES	WLOSZCZYZNA TACKA
DRINK_JUICE	LOWICZ SOS POMIDOR BOCZEK
BEER	PIWO GOZDZILLA BEZW
ICE_CREAMS_FROZEN	WODA AQA GAZ
MEAT	PAROWKOWA SZYNKI
SWEETS	DELICJE MORELOWE
CHEMISTRY	PUMEKS BIALY
SWEETS	MILKA CZEKOLADA BAKALIE
ICE_CREAMS_FROZEN	LODY ROLADA KORAL SMOAK
DAIRY_CHESSE	BAKOMA GRECKI
DAIRY_CHESSE	PUDING SERDUSZKO CZEKOLADOWY
VEGETABLES	ZAPIEKANKA PIECZARKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	BATON NUTELLA SZT
CHEMISTRY	BELLA HERBS PODPASKI LIPY
BREAD	CHLEB ZIARNISTY
CHEWING_GUM_LOLIPOPS	GUMA ORBIT SASZETKA STRAWBERY
SWEETS	PRINCE POLO ORZECH
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PETITKI LUBISIE MLECZNE
DRINK_JUICE	KUBUS PLAY MARCH MALIN LIMETKA
DAIRY_CHESSE	SEREK CHLEB SZCZYP WLOSZCZOWA
DRINK_JUICE	NAP BAHAMA POMARANCZ
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	KNORR BARSZCZ CZERWONY
GROATS_RICE_PASTA	RYZ SARITA BIALY PARABOILED KAR
DRINK_JUICE	LODY KAKTUS CYTR
CHEMISTRY	MYDLO BIALY JELEN
CHEMISTRY	NAP SPRITE PUSZKA
DAIRY_CHESSE	WIN SOS PIECZENIOWY DELIKATNY
SOCKS_THIGHTS	RAJSTOPY STRETCH
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PIWO PERLA CHMIELOWA BUT ZWROT
SWEETS	WEDEL CZEK GORZKA
SWEETS	PRINCESSA CHERRY
VEGETABLES	POMIDOR MALINOWY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KETCHUP PIKANTNY
CHEMISTRY	MYDLO SAFINA JASMIN
BREAD	OWSIANKA OWOCAMI
ICE_CREAMS_FROZEN	ZUPA KALAFIOROWA
ARTICLE_OF_HOUSEHOLD	DLUGOPIS PSTRYKANY
BEER	PIWO BOJAN FAJRANT ZWR
SWEETS	CZEKOLADA BARON WALWNTYNKOWA
BREAD	SUCHARY CUK MAMUT
COFFEE TEA	LIPTON HERB ZIELONA CITRUS
DAIRY_CHESSE	WIB SOS KOPERKOWY SMIETANA
SWEETS	SUROWKA KUBEK
CHEMISTRY	ZEL PRANIA COLOR
CIGARETTES	CIGARETTES STARTER
VODKA_ALCOHOL	WODKA KRUPNIK PREMIUM
SWEETS	KARTY
CHEMISTRY	PODGRZEWACZ ZAPACH
SWEETS	ZELKI NIMM SMIEJZELKI
DAIRY_CHESSE	CHRUPKI KUKURYDZIANE
ICE_CREAMS_FROZEN	LODY BIG TOFFI ALGIDA
SPICES	KAMIS GRIL KIELBASKI
DAIRY_CHESSE	KARMA CAT
DAIRY_CHESSE	SER CAPRESI PAPRYKA
CHEMISTRY	BREF
ICE_CREAMS_FROZEN	LODY BIG MILK KOSTKA
DAIRY_CHESSE	SMIETANA CREMONA
BEER	PIWO FOX PUSZKA JASNE
OCCASIONAL	BATERIE ALKAICZ
GROATS_RICE_PASTA	KUPIEC KASZA MANNA
DRINK_JUICE	WODA ZYWIEC TRUSKAWKA
VEGETABLES	POMIDOR MALINOWY
SPICES	PIEPRZ ZIARNISTY APPETITA
DAIRY_CHESSE	POEZJA DESER TRUSKAWKA
BEER	PIWO TYSKIE BUTELKA
CANNED_PATE	ROLNIK BARSZCZ CZERWONY ZAPR
GENERAL	MAKA JAGLANA
BEER	PIWO MOCNE POLSKIE
GENERAL_FOOD	SLONECZNIK CZARNY ANDREX
MEAT	CWIARTKA KURCZAKA
DAIRY_CHESSE	LAZUR EKITNY
DAIRY_CHESSE	SER FAVITA NIEBIESKI
CIGARETTES	PAP MENTHOL SUPER SLIM
CHEMISTRY	GILZY GOLDEN
CHIPS_FLAKES	PLATKI PODUSZKI MIKUS
DRINK_JUICE	NAP SPRITE
DRINK_JUICE	NAP HORTEX CZARNA PORZECZKA
DAIRY_CHESSE	DANONE GRATKA
DAIRY_CHESSE	GOS SMIETANKA GOSTYN
CHEMISTRY	SCIERKA UNIWERSALNA SZT
GENERAL	ZNICZ DUZY
DRINK_JUICE	NAP MARTON KIWI GAZ
GENERAL_FOOD	VIFON DANIE STYL TAJSKIM
BEER	PIWO DEBOWE MOCNE PUSZKA
ICE_CREAMS_FROZEN	LODY MAGNUM CLASSIC
BEER	PIWO LWOWEK JANKES ZWROT
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
GENERAL	BATERIA WARTA ALKAICZNA
SWEETS	CIASTKA KRAKUSKI MASLANE
DAIRY_CHESSE	WIN MAJONEZ LEKKI
OILS	MAR PYSZNY DUET
GENERAL_FOOD	MASA MAKOWA
CIGARETTES	PAP CHESTERFILD RED
GENERAL	PLATKI RYZOWE BLYSKAWICZNE
GENERAL	JOGURT NATURALNY GRECKI
GENERAL	PASSATA LOWICZ
TABLETS	TABLETKI NUROFEN EXPRESS SZT
SWEETS	PRINCESSA ORZECH
SWEETS	GOFRY SEZAM
GENERAL_FOOD	KROKIETY KASZTELAN
GENERAL_FOOD	WIN BUDYN MALINOWY
SPICES	PRYMAT PRZYPRAWA MIELONEGO
DRINK_JUICE	WODA ZYWIEC JABLKO
GENERAL_FOOD	MASA MAKOWA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KETCHUP LAGODNY
VEGETABLES	ZAPIEKANKA PIECZARKA
DRINK_JUICE	WODA ARCTIC MAGNEZ
CANNED_PATE	PROFI SZYNKA MIELONA
CHEMISTRY	WORKI SMIECI SZT
CIGARETTES	PAP BLUE
VODKA_ALCOHOL	WODKA BOLS
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	DZEM SLONECZNY OGROD CZARNA PORZECZ
DRINK_JUICE	LEMONIADA GREJFRUT BUT
GENERAL	SZPARAGI KIER
GROATS_RICE_PASTA	MAKARON GWIAZDKI CZANIEC
CHEMISTRY	PUR ACTION
BEER	PIWO ZYWIEC BUTELKA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	NAP COCA COLA PET
DRINK_JUICE	WODA AQA KIDS
CHEMISTRY	DENATURAT BIALY
DAIRY_CHESSE	BAKOMA SATINA CZEKOL
DRINK_JUICE	NAP TYMBARK ASEPTIC POM BRZOSK
VEGETABLES	SALATA
DRINK_JUICE	NAP HORTEX POMARANCZ
ICE_CREAMS_FROZEN	PALUSZKI RYBNE LUZ
ICE_CREAMS_FROZEN	LODY ROZEK
VODKA_ALCOHOL	WHISKY BALLANTINES SZKL
COFFEE TEA	CAPPUCCINO MAGNEZEM MOKATE
DRINK_JUICE	NAP FANTA
GENERAL	KISIEL SLOD CHWILA MANGO ANANAS
ICE_CREAMS_FROZEN	WORKI SMIECI SZT TASMA
DAIRY_CHESSE	GOS MLEKO UHT GOSTYN
DRINK_JUICE	WLOSZCZYZNA SELER MARCHEW PECZEK
BEER	PIWO HARNAS PUSZKA
SWEETS	CIASTKA DESSIMO MALINA
BEER	PIWO TYSKIE PUSZKA
GENERAL_FOOD	PIECZYWO WASA ZYTNIE
GENERAL_FOOD	FRYTKI KARBOWANE AVIKO
SWEETS	MENTOS RAINBOW
DRINK_JUICE	NAP NAPI BUT JAB MIETA
CIGARETTES	PAP WEST
GENERAL	PASZTET PODLASKI
DRINK_JUICE	WODA PRIMAVERA GAZ
TABLETS	PLASTER POLSKI LEK OPATRUNKOWY
CHIPS_FLAKES	LAYS CHEETOS PIZZERINI
SWEETS	HET
VEGETABLES	GOPL FIGŁRKA
VEGETABLES	SUROWKA KUBEK
CHEMISTRY	WKLADKI INTIMA BELLA
CHEMISTRY	PASTA ZEB COLODENT STRONG
DAIRY_CHESSE	JOGOBELLA CLASSIC
GENERAL_FOOD	OCET KULINARNY PLASTIK
GENERAL_FOOD	KNORR PRZYPRAWA KARKOWKI
GENERAL_FOOD	KNORR OGORKOWA GRZANKAMI
DRINK_JUICE	WODA ZYWIEC GAZ LIMON MIETA
VEGETABLES	POLEWA MLECZNA TWARDA
ICE_CREAMS_FROZEN	LODY ROLADA LORAL
COFFEE TEA	LIPTON
BREAD	BAGIETKA
GENERAL_FOOD	WIN BUDYN SMIETANKOWY CUK
DRINK_JUICE	NAP FANTA CYTRYNA
BEER	PIWO SOMERSBY WOTERMELON PUSZKA
DRINK_JUICE	NAP MIRINDA
DAIRY_CHESSE	HOCH TWAR KANAPKOWY SMIETANA
CHEMISTRY	DOMESTOS CITRUS
CHIPS_FLAKES	LAYS CHETOS CHRUPKI
VODKA_ALCOHOL	WODKA
SWEETS	MIESZANKA STUDENCKA
GENERAL	POWIDLA WEGIERKOWE HERBOPOL
DAIRY_CHESSE	MLEKO ZAG
DRINK_JUICE	WODA ZYWIEC
ICE_CREAMS_FROZEN	LODY JAK DAWNIEJ TRU TYRAM
DAIRY_CHESSE	TWAROG SREMSKI CHUDY
FISH	FILETY SLEDZIOWE POMIDZ
SWEETS	CIASTKA PETITKI CZEK
CIGARETTES	PAP LUCKY STRIKE RED
DISHES_FOR_CHILDREN	CATERING HAMBURGER CZOSNKOWYM
VODKA_ALCOHOL	WODKA ZUBROWKA CZARNA
VODKA_ALCOHOL	PIWO WARKA RADLER GREJF ZWR
DAIRY_CHESSE	SER SALAMI WOSK SREM
VEGETABLES	POR
DRINK_JUICE	NAP TYMBARK POMAR BRZOSKLWINIA
GENERAL_FOOD	WIN ZELATYNA SPOZYWCZA
CIGARETTES	TYTO VICEROY BLU
DAIRY_CHESSE	DANONE GRATKA
SWEETS	ZELKI KABLE DLUGIE
FISH	PASTELLA JAJECZNA SZCZYPIORKIEM
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	CHRZAN TARTY VICTUS
GENERAL_FOOD	KNORR TAGLITELLE
DAIRY_CHESSE	JOGOBELLA CLASSIC
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	JAJKO NIESPODZIANKA FERRERO
SPICES	GALEO LISC LAUROWY
MEAT	KIE BASA WIOSENNA
DRINK_JUICE	WODA KROPLA BESKIDU GAZ
DAIRY_CHESSE	BAKOMA SATINA WANILIA
CHEMISTRY	OLOWEK TECHNICZNY BIC
BEER	PIWO HEINEKEN BEZ ZWROT
VEGETABLES	POMELO SZT
PET'S FOOD	KARMA PEDIGREE ADULT WOL
ICE_CREAMS_FROZEN	LODY OSKAR JAGODA
VEGETABLES	BRZOSKWINIE
VODKA_ALCOHOL	NAP SPIR ADKOWA GORZKA
EGGS	JAJKA SZT LIPOWCZYK
CHEMISTRY	NOTES DZIEWCZYNKI
CHEMISTRY	PALMOLIVE SZAMPON PRZECIW LUPIEZO
SWEETS	RURKI SUCHE
CIGARETTES	WODA
DAIRY_CHESSE	HOCHL PAPRYKA BLOK
SWEETS	NAP AQA PLUS GAZ JAB PIGWA
SWEETS	WAFLE FRESH
DRINK_JUICE	ZBYSZKO POM CZERWONE GAZ
DRINK_JUICE	WODA AQUA NIE GAZ
GROATS_RICE_PASTA	MAK LUBELLA JAJE WSTAZKA
DRINK_JUICE	KUBUS PLAY MARCH CZERESNIA
VODKA_ALCOHOL	NAP SPIR ADKOWA GORZKA
GENERAL	PASZTET PODLASKI
VEGETABLES	PIECZARKI
DRINK_JUICE	KUBUS MAR BAN JAB
ICE_CREAMS_FROZEN	LODY OSKAR ZIELONA
TABLETS	TABLETKI POLOPIRYNA
ICE_CREAMS_FROZEN	WARZYWA PATELNIE WIEJSKIE
GENERAL_FOOD	WIN POMYSL CHLOPSKI GARNEK
SWEETS	WAFLE SUCHE
OILS	MARGARYNA NIEZB DNA MAS
BEER	PIWO WARKA RADLLER PORZE
CHEMISTRY	MARKER CZARNY SZT
SWEETS	BATON MACIEK XXL WAWEL ADWOKAT
VEGETABLES	ORZECH LASKOWY
CHEMISTRY	ODSWIEZACZ ZAPAS
SWEETS	WAFLE GORALKY CZEKOLADOWE
BEER	PIWO SOMERSBI APPLE SECCO PUSZKA
CANNED_PATE	PIEROGI SEM GRZESKOWIAK
CIGARETTES	PAP ROTHMANS BLU LINK
GENERAL	WIN BUDYN CZEKOL CIAST
CIGARETTES	PAP LUCKY STRIKE RED
CHEMISTRY	PASTA COLODENT SUP SWIEZOSC
SPICES	CZUBRYCA ZIELONA
CANNED_PATE	PROFI SZYNKA MIELONA
ICE_CREAMS_FROZEN	LODY PINGWINY MLYNARCZYK POL
SWEETS	CIASTKA SONATA CZEL MLECZNA
CANNED_PATE	PIEROGI SEREM OWOC TACKA
CHEMISTRY	DRUCIAK SZT
SPICES	KAMIS PIEPRZ CZAR MIELONY
DAIRY_CHESSE	GOS MASLANKA NATURALNA
DAIRY_CHESSE	MLEKO TUBA KAKAO
DAIRY_CHESSE	MASLANKA TRUSK MLEKOWITA
DRINK_JUICE	KUBUS WATERRR ICE WISNIA LIMON
FISH	SALATKA PIK MAKRELI
SWEETS	RAFFAELLO
GENERAL_FOOD	KNORR PIECZARKOWA GRZANKAMI
GROATS_RICE_PASTA	MAK ZLOTY LAN NITKA DOMOWA
CHEMISTRY	VANISH OXI
SWEETS	ZAJAC ROOL
DRINK_JUICE	LODY KOKTAILOWE
SWEETS	MILKA CZEK ORZECHOWA
ICE_CREAMS_FROZEN	PIEROGI TRUSKAWKA
GENERAL_FOOD	SMALEC SKWAR MAJER
FISH	DELFINKI RYBNE PANIER LUZ
CIGARETTES	PAP BLU LINK
BEER	PIWO WARKA STRONG BUTELKA
CHEMISTRY	BREF KULKI PERFUME
GENERAL_FOOD	ALMETTE RZODKIEWKA
CHEMISTRY	ZESZYT KRATKE
BEER	PIWO TATRA JASNE BUTELKA
GENERAL_FOOD	OCET PEGAZ
CHEMISTRY	SZAMPON SKRZYPEM EVA NATURE
VEGETABLES	BANAN
BEER	PIWO PSOTNIK BEZW
ICE_CREAMS_FROZEN	LODY ROZEK MIX
CHEMISTRY	ZAROWKA
MEAT	KRAKOWSKA SUCHA
SWEETS	WAFLE FAMILIJNE SMIETANKOWE
ICE_CREAMS_FROZEN	WODA AQA
SWEETS	CZEKOLADA BARON WALWNTYNKOWA
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	POMPKA PLAY DOLADOWANIE
TABLETS	TABLETKI COLGRIP SZT SASZETKI
BEER	PIWO LECH SHANDE ICE PUSZKA
DRINK_JUICE	FRUGO CZARNE PET
GENERAL_FOOD	PUDL MIESZANKA WARZYWNA
SPICES	SLONECZNIK PRAZONY
COOKIES_BULK	CUKIERKI MLECZNE CHOCO ROSHEN
GROATS_RICE_PASTA	SER PLASTRY MLECZ ZAGRODA GOUDA
COFFEE TEA	HERBATA MINUTKA EARL GREY
KETCH_CONCETRATE_MUSTARD_MAJO_HORSERADISH	PUDL KETCHUP PIKANTNY
